DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,SampleMedium,pH,pH,Temp,EC,DO,Alkalinity,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Ca,Mg,Na,K,Sr,Si,B,Fe,Al,Ba,Be9,Al27,Si28,P31,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,TI205,Pb208,U238,Hg202,Sr isotopes,d13C-DIC,dD,d18O,NH4-N,Ortho-P,SamplingNote
MST,,,,,,pH,pH,degC,uS/cm,%,meq/kg,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,ng/L,-,‰,‰,‰,mg/L,mg/L,
(Detection limit),,,,,,,,,,,0.2,0.00023,0.00026,0.0002,0.11,2.5,0.13,0.16,0.25,2.5,0.22,0.14,0.04,0.015,0.012,0.006,0.024,0.004,0.004,0.004,0.004,0.042,0.096,0.684,0.723,0.027,0.003,0.003,0.012,0.006,0.0014,0.003,0.006,0.045,0.015,0.057,0.342,0.003,0.0003,0.006,0.003,0.003,0.003,0.429,0.204,0.255,1.23,0.87,0.61,2.41,0.204,0.876,0.231,0.255,0.228,0.762,0.057,0.468,0.678,0.54,,,,0.4,0.1,0.01,0.01,
(Lab Method),,,,,,PH_EC1,PH_EC2,OxyTem,PH_EC1,OxyTem,GA_titration,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ThermoQuest,ThermoQuest,WIA_LGR,WIA_LGR,SmartChem200,SmartChem200,
9/27/2005 17:09,VGKC5,JEMEZ_S18,GRAB,Grab,Surface water,7.1,-9999,14.4,69,20.9,-9999,7.38,0.276,0.2638,0.2754,1.3147,0.065,0.08,1.0347,1.2894,0.0535,4.4905,1.4427,8.4491,1.3187,0.0138,26.8155,0.0166,0.002,0.0133,0.002,0.021,1.59,26400,16.8,0.0437,1.19,0.474,0.163,62.3777,0.338,0.14,0.143,0.48,0.34,0.242,4.53,0.643,0.011,0.003,0.0015,0.0422,4.79,4.27,7.55,1.11,0.689,1.3,0.02,1.205,0.102,0.438,0.1155,0.1275,0.114,0.381,0.0285,-9999,0.02,174,17,-9999,-9999,-83.47,-12.02,0.012,0.018,Small pond with lots of algae; reeds & grasses; very lush
9/27/2005 0:00,VGJJ1,JEMEZ_S19,GRAB,Grab,Surface water,6.9,-9999,11.3,59.1,18.6,-9999,8.953,1.329,0.1576,0.0474,0.6681,0.065,0.08,0.0217,2.9214,0.0461,7.0694,0.7936,3.4613,1.2229,0.0309,11.0976,0.002,0.002,0.002,0.002,0.007,2.03,11000,31.4,0.105,0.214,0.067,0.53,152.9604,0.532,0.48,1.055,2.17,0.14,0.118,85.1,0.0015,0.005,0.01,0.0015,0.0248,11.2,45.3,14.4,12.5,44.4,10.8,1.42,6.61,1.2,9.05,2.76,4.91,0.399,8.03,0.883,-9999,0.04,0.27,1.64,-9999,-9999,-86.22,-12.48,0.02,0.018,Spring east of Bunkhouse
9/27/2005 0:00,VGJJ2,JEMEZ_S20,GRAB,Grab,Surface water,7.5,-9999,15.1,171.4,10.9,1.45,18.25,10.05,0.7218,0.2308,11.9184,0.4716,0.0482,0.232,2.0441,0.11,13.2216,3.1665,18.5518,4.719,0.114,17.463,0.5512,0.5648,1.2931,1.1821,0.102,686.3679,15100,33.1,5.8,1.25,0.784,8.02,385.9576,1.4,2.07,1.8,39.22,1.83,0.141,1170,1.46,0.02,0.01,0.0002,0.473,1227.5044,1870,3600,477,1730,347,182,314,48.3,251,45.5,119,15.8,109,15.5,-9999,0.6,250,10.4,-9999,-9999,-57.19,-6.82,0.012,0.001,Seep right side of road north of History Grove before Jaramillo
9/27/2005 0:00,VGJJ3,JEMEZ_S21,GRAB,Grab,Surface water,7.5,-9999,8.5,77.1,48.7,-9999,8.396,0.6535,0.5944,0.191,1.7261,0.065,0.0187,2.6298,4.1087,0.061,5.8053,1.1078,5.5823,5.0151,0.0261,22.6391,0.0179,0.002,0.002,0.0095,0.061,1.96,22600,27.1,0.0909,0.294,0.06,0.102,62.4248,0.433,0.41,0.455,1.82,0.28,0.411,386,0.276,0.033,0.01,0.0015,0.0213,13.5,88.2,6.4,26,118,29.5,3.68,34.3,5.41,39.4,9.35,27.7,4.74,37.8,7.48,-9999,0.01,26,3.87,-9999,-9999,-87.17,-12.41,0.008,0.024,Spring at base of obsidian flow
9/27/2005 0:00,VGJJ4,JEMEZ_S22,GRAB,Grab,Surface water,7,-9999,21,44.4,59.5,0.32,4.151,9.954,1.784,0.3385,3.2069,0.065,0.0422,0.3026,7.692,0.0087,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-56.61,-7.1,0.352,0.015,Pond on north side of Valles Grande
9/27/2005 0:00,VGJJ5,JEMEZ_S23,GRAB,Grab,Surface water,7.8,-9999,10.8,45.9,59.2,-9999,4.509,1.67,0.1106,0.0513,0.5468,0.065,0.08,0.0493,3.3042,0.0882,5.2211,0.5741,2.972,1.1552,0.0218,9.6656,0.002,0.0123,0.0305,0.002,0.021,30.8,9600,28.6,0.252,0.227,0.039,0.74,41.1714,0.382,0.22,1.7,2.959,0.19,0.008,69.9,0.0015,0.039,0.01,0.0015,0.009,6.47,48.9,115,11.1,37.8,11.9,0.705,7.39,1.11,9.97,1.74,3.35,0.216,6.04,1.44,-9999,0.04,1.93,0.343,-9999,-9999,-86.09,-12.38,0.026,0.024,Stream south of bunkhouse - emanating from spring up slope
9/27/2005 0:00,VGJJ6,JEMEZ_S24,GRAB,Grab,Surface water,7.1,-9999,10.8,67.4,34.6,-9999,6.395,4.95,0.3182,0.0659,0.8984,0.065,0.08,0.0112,6.5284,0.014,6.5489,1.3666,3.9943,2.24,0.0439,15.7704,0.002,0.0125,0.017,0.0399,0.052,11.7,15600,2.79,0.262,0.452,0.073,2,44.6633,0.502,0.76,2.27,3.2392,0.28,0.151,327,0.0015,0.002,0.01,0.0015,0.044,43.1,243,310,61.9,272,53.5,11.9,45.8,7.32,45.4,9.16,30,4.88,34.4,5.48,-9999,0.04,8.51,0,-9999,-9999,-74.11,-10.64,-9999,-9999,Stagnant water
9/28/2005 0:00,VGJJ7,JEMEZ_S25,GRAB,Grab,Surface water,6.5,-9999,9.2,87.5,113.5,-9999,8.868,4.624,0.2931,0.8344,2.0598,0.065,0.08,0.0113,1.8375,0.0056,5.6985,1.2121,11.1004,1.4342,0.0258,18.9674,0.0155,0.0356,0.0335,0.0097,0.022,30.5,19000,13.1,0.272,0.84,0.135,2.53,59.9349,0.472,0.5,1.09,2.22,0.67,0.138,171,1.05,0.018,0.01,0.0015,0.051,13.7,121,211,31.3,126,32.9,4.53,19.7,4.58,24.7,4.81,12.8,1.36,15.3,1.91,-9999,0.05,92.4,3.5,-9999,-9999,-79.24,-11.18,0.041,0.005,East Fork Jemez River at gauge
9/28/2005 0:00,VGJJ8,JEMEZ_S26,GRAB,Grab,Surface water,5.9,-9999,8.8,75.2,44.4,-9999,8.01,5.394,0.375,0.1917,2.1699,0.065,0.08,0.125,2.5892,0.0031,4.9651,0.9331,7.3623,4.7763,0.0287,23.2777,0.002,0.1071,0.0578,0.012,0.048,50.8,22500,11.5,0.7,0.358,0.096,6.22,135.6403,0.411,0.38,0.875,2.354,0.33,0.122,304,0.0518,0.012,0.01,0.0015,0.0254,16,177,323,44.6,176,40.7,5.67,37.5,6.26,44.1,9.33,28.5,3.52,35.8,4.23,-9999,0.07,23.5,0.25,-9999,-9999,-82.65,-11.77,0.024,0.005,Tributary to East Fork Jemez River - slow flowing - seeping
9/28/2005 0:00,VGJJ9,JEMEZ_S27,GRAB,Grab,Surface water,7.5,-9999,11.1,91,127.4,-9999,9.479,4.612,0.4656,0.7693,2.1177,0.065,0.08,0.0407,1.6012,0.11,6.0257,1.3055,11.5575,1.3163,0.0266,19.6981,0.0132,0.0859,0.129,0.0102,0.019,50.6,19700,12.6,0.441,0.83,0.152,1.74,71.5631,0.471,0.51,0.547,2.02,0.63,0.143,170,1.14,0.006,0.01,0.0015,0.0448,14.1,131,227,33.5,136,32.5,4.15,21.6,4.61,23.8,4.77,13.5,2.12,15.6,1.7,-9999,0.05,93.6,4.8,-9999,-9999,-79.04,-11.25,0.067,0.005,East Fork Jemez River at Sonde
