DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,SampleMedium,pH,pH,Temp,EC,DO,Alkalinity,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Ca,Mg,Na,K,Sr,Si,B,Be9,Al27,Si28,P31,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,TI205,Pb208,U238,d13C-DIC,dD,d18O,NH4-N,Ortho-P,FI,HIX,SUVA254,SamplingNote
MST,,,,,,pH,pH,degC,uS/cm,%,meq/kg,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,‰,‰,‰,mg/L,mg/L,nm/nm,nm/nm,au,
(Detection limit),,,,,,,,,,,0.2,0.00023,0.00026,0.0002,0.11,2.5,0.13,0.16,0.25,2.5,0.22,0.14,0.04,0.015,0.012,0.006,0.024,0.004,0.042,0.096,0.684,0.723,0.027,0.003,0.003,0.012,0.006,0.0014,0.003,0.006,0.045,0.015,0.057,0.342,0.003,0.0003,0.006,0.003,0.003,0.003,0.429,0.204,0.255,1.23,0.87,0.61,2.41,0.204,0.876,0.231,0.255,0.228,0.762,0.057,0.468,0.678,0.54,,0.4,0.1,0.01,0.01,,,,
(Lab Method),,,,,,PH_EC1,PH_EC2,OxyTem,PH_EC1,OxyTem,GA_titration,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,DionexIC3000,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-OES,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ThermoQuest,WIA_LGR,WIA_LGR,SmartChem200,SmartChem200,Fluoromax4,Fluoromax4,UV_Vis,
4/25/2011 16:00,FLUME_MCZOB,JEMEZ_S410,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,0.3859,13.13,0.5173,0.1072,0.7507,0.065,0.08,0.125,8.4504,0.4354,6.4182,0.6129,1.9023,1.4109,0.0335,9.4057,0.0032,0.148,262.1266,9405.7197,17.6,1.63,0.545,0.203,7.73,135.4963,0.103,0.786,1.61,3.15,0.42,0.2297,1240,0.0516,0.0038,0.0086,0.0138,0.0613,16.2,761,1160,217,738,215,36.8,229,34.1,200,43.5,121,16.8,116,19.1,0.234,0.151,79.3,-9999,-87.9,-12.3,0.009,0.006,1.34,7.101,0.006,"used bottles: 1L amber, 250ml HDPE"
4/27/2011 19:00,FLUME_MCZOB,JEMEZ_S411,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,2.578,13.04,0.5762,0.055,0.7895,0.065,0.08,0.125,9.3399,0.4422,6.8649,0.6635,1.908,1.5897,0.033,9.4345,0.0031,0.137,214.7691,9434.5013,17.7,1.53,0.454,0.191,4.24,107.3846,0.0906,0.778,2.21,3.29,0.409,0.258,1100,0.0383,0.015,0.0068,0.0035,0.0447,14.6,687,963,192,693,199,33.4,204,29.7,178,38.3,109,15.2,103,17.5,0.234,0.0994,69.8,-9999,-83.7,-11.6,0.063,0.007,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
4/28/2011 19:00,FLUME_MCZOB,JEMEZ_S412,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,2.493,12.66,0.4949,0.055,0.9352,0.065,0.08,0.125,9.5813,0.5,7.0823,0.6828,1.9154,1.7354,0.0327,9.4105,0.0043,0.13,215.2093,9410.5169,18.2,1.79,0.491,0.201,3.89,105.0613,0.0946,0.765,2.06,4.15,0.415,0.204,1100,0.0415,0.0137,0.0072,0.0046,0.0607,19.6,702,1000,193,679,195,34.4,202,29.2,179,39.7,112,15.7,104,17.2,0.234,0.101,67.7,-9999,-83,-11.4,0.059,0.009,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
4/29/2011 12:00,FLUME_MCZOB,JEMEZ_S413,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,2.406,13.2,0.5215,0.055,0.8098,0.065,0.08,0.125,9.0685,0.5306,6.1215,0.569,1.8168,1.4892,0.0297,9.81,0.0035,0.126,185.017,9810.0196,15.3,1.31,0.587,0.23,5.72,107.5178,0.115,0.717,1.87,3.37,0.455,0.2105,1360,0.04,0.0027,0.0074,0.0558,0.0488,14.1,854,1270,236,787,246,40.8,251,35.9,222,46.4,136,18.7,124,20.6,0.234,0.107,76.2,-9999,-83,-11.8,0.086,0.008,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
4/29/2011 15:00,FLUME_MCZOB,JEMEZ_S414,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,2.706,14,0.5522,0.055,0.7862,0.065,0.08,0.125,9.257,0.5215,7.0919,0.6587,1.9445,1.7719,0.0363,10.0171,0.0055,0.167,198.0266,10017.0756,23.9,1.58,0.575,0.212,5,121.215,0.103,0.889,2.64,5.24,0.498,0.2207,1490,0.0483,0.0129,0.0126,0.0196,0.0505,17.5,926,1300,256,910,263,45,278,40.6,248,51.6,149,21.2,135,22.6,0.234,0.137,83.1,-9999,-82.7,-11.4,0.065,0.011,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
4/30/2011 1:00,FLUME_MCZOB,JEMEZ_S415,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,3.139,13.41,0.5721,0.055,0.8663,0.065,0.08,0.125,8.2201,0.487,6.8573,0.6707,1.9216,1.4675,0.0342,9.8338,0.0035,0.157,207.2261,9833.8225,16.2,1.23,0.53,0.195,7.36,149.9564,0.115,0.77,1.45,2.62,0.473,0.1784,1370,0.0398,0.0031,0.0098,0.0147,0.0416,16.2,873,1340,244,805,242,41.7,262,37.4,226,48.6,142,19.9,130,21.9,0.234,0.11,85.4,-9999,-82.9,-11.4,0.072,0.008,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
4/30/2011 14:30,FLUME_MCZOB,JEMEZ_S416,GRAB,Grab,Surface water,-9999,7,-9999,-9999,-9999,0.24,3.333,5.063,0.2085,0.1116,0.7191,0.065,0.08,0.125,3.1168,0.482,3.7719,0.4566,1.9491,1.2994,0.0199,12.6874,0.0034,0.0303,137.8825,12687.354,21.1,1.05,0.462,0.0719,5.68,103.2314,0.0726,0.449,1.14,1.39,0.855,0.1914,517,0.215,0.0054,0.0045,0.0015,0.0425,8.68,261,465,77.4,242,85.4,15.2,93.8,13.4,87.6,20.2,56.1,8.95,58.5,10.9,0.234,0.0856,65.6,-11.7,-90.3,-13,0.064,0.018,1.34,6.373,0.049,"used bottles: 1L amber, 250ml HDPE"
5/3/2011 15:00,FLUME_MCZOB,JEMEZ_S417,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,2.621,11.43,0.4554,0.0465,0.6782,0.065,0.08,0.125,8.4269,0.4718,6.6253,0.6334,1.7875,1.3814,0.0299,8.4128,0.0029,0.0768,281.7208,8412.7655,19.2,1.33,0.407,0.167,5.35,146.3005,0.0812,0.683,1.15,3.07,0.377,0.268,920,0.0473,0.0051,0.0056,0.0015,0.0412,13.1,555,757,155,565,160,27.5,167,25,150,32.8,93.8,13.3,85.6,15.2,0.234,0.0735,59.1,-9999,-88,-12.4,0.064,0.011,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
5/3/2011 14:00,FLUME_MCZOB,JEMEZ_S418,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,2.114,9.355,0.3415,0.0047,0.5413,0.065,0.08,0.125,5.8718,0.4538,4.6708,0.4748,1.5055,0.911,0.0243,7.6818,0.0043,0.102,212.3109,7681.7941,14.3,2.37,0.551,0.246,8.04,84.9244,0.102,0.536,1.82,4.59,0.337,0.1571,814,0.0332,0.0145,0.0087,0.0241,0.0335,21.6,515,887,145,414,141,25.6,158,22.2,134,29.2,83.1,12,80.9,13.6,0.234,0.107,67.4,-9999,-91.3,-13.1,0.066,0.005,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
5/3/2011 15:30,FLUME_MCZOB,JEMEZ_S419,GRAB,Grab,Surface water,-9999,6.9,-9999,-9999,-9999,0.19,2.429,11.77,0.4967,0.0881,0.558,0.065,0.08,0.125,8.3435,0.4454,6.3047,0.6364,1.788,1.4181,0.0296,8.5322,0.0028,0.102,240.6509,8532.17,21.4,1.7,0.475,0.208,4.13,102.4258,0.0925,0.741,1.4,2.57,0.389,0.1912,1190,0.0493,0.0033,0.0071,0.0109,0.0407,13.6,724,993,205,744,208,36.4,224,31.4,197,41.2,119,16.5,109,18.1,0.234,0.0847,59.6,-5,-88.4,-12.6,0.061,0.012,1.36,8.181,0.017,"used bottles: 1L amber, 250ml HDPE"
5/3/2011 13:00,FLUME_MCZOB,JEMEZ_S420,GRAB,Grab,Surface water,-9999,6.9,-9999,-9999,-9999,0.18,2.406,9.533,0.3386,0.055,0.6375,0.065,0.08,0.125,6.147,0.472,5.0593,0.5177,1.5867,0.9784,0.0252,9.2328,0.0023,0.11,314.9768,9232.758,11.5,2.72,0.538,0.224,9.14,119.6912,0.114,0.569,1.69,2.33,0.328,0.22,877,0.0257,0.0027,0.0102,0.0015,0.0316,12,550,929,155,443,156,27.3,163,23.8,145,31.6,91.2,12.2,84.8,14.8,0.234,0.119,72.5,-13.5,-91.4,-12.9,0.224,0.004,1.3,4.854,0.007,"used bottles: 1L amber, 250ml HDPE"
5/3/2011 14:00,WestTribLJ,JEMEZ_S421,GRAB,Grab,Surface water,-9999,7,-9999,-9999,-9999,0.27,3.321,4.14,0.1831,0.1894,0.7932,0.065,0.08,0.3973,3.4641,0.483,3.8001,0.4686,2.0084,1.3428,0.0183,14.0782,0.0024,0.0375,129.5587,14078.1924,18.2,1.21,0.415,0.0684,13.2,89.1,0.0719,0.349,0.468,0.605,0.688,0.1442,514,0.186,0.0016,0.0012,0.0015,0.0376,6.94,258,474,75.3,226,81.3,14.9,87.9,14.5,89.1,20.1,57.2,8.14,55.7,10.7,0.234,0.0549,55.4,-12.3,-91.9,-13.1,0.062,0.015,1.35,5.183,0.048,"used bottles: 1L amber, 250ml HDPE"
5/3/2011 14:00,FLUME_UR,JEMEZ_S 422,GRAB,Grab,Surface water,7.1,7.6,6,-9999,66.4,0.52,5.813,3.416,0.2381,0.055,2.8077,0.065,0.08,0.125,13.1592,0.5834,12.8816,1.0375,5.6116,1.5851,0.0683,11.8788,0.0129,0.0183,170.662,11878.8492,24.7,0.623,0.325,0.0494,2.89,42.6,0.0506,0.355,0.347,0.713,0.307,0.0774,91.7,0.194,0.0007,0.0006,0.0015,0.0223,13.1,67.1,111,17,44.5,16.2,4.98,17.9,2.07,16.3,4.85,10.2,1.44,8.47,2.5,0.234,0.0277,12,-4.4,-83.3,-12.1,0.066,0.02,1.42,6.747,0.043,"used bottles: 1L amber, 250ml HDPE"
5/3/2011 14:15,FLUME_LJ,JEMEZ_S 423,GRAB,Grab,Surface water,7.2,7.6,8.7,-9999,67.7,0.55,6.149,2.989,0.218,0.055,2.8458,0.065,0.08,0.125,8.1517,0.5932,8.1278,0.8223,5.7047,1.3317,0.0481,12.0582,0.017,0.0273,116.7658,12058.1703,51.6,0.681,0.432,0.0415,1.48,37.9,0.0531,0.413,0.505,1.26,0.68,0.1281,90.8,0.425,0.0016,0.0062,0.0015,0.0369,15.1,85.7,162,20,27.7,16.3,5.42,19.2,2.11,17.4,4.75,10.2,1.44,7.02,2.27,0.234,0.0361,12,-9999,-83.5,-11.9,0.058,0.045,1.35,5.674,0.043,"used bottles: 1L amber, 250ml HDPE"
5/3/2011 14:45,FLUME_RM,JEMEZ_S 424,GRAB,Grab,Surface water,6.5,7.6,17.1,-9999,64.1,0.49,5.197,2.463,0.1156,0.3107,0.8173,0.065,0.08,0.125,2.8479,0.6722,5.3555,0.4393,5.7767,0.9568,0.0265,13.0176,0.0079,0.0345,139.6036,13017.6367,242,1.25,1.07,0.0968,0.524,31.6,0.0332,0.202,0.286,0.624,2.38,0.163,119,1.17,0.0016,0.0045,0.0015,0.078,4.36,105,241,21.6,0.615,17.4,3.54,20.4,2.09,19,5.36,12.9,1.68,9.61,2.8,0.234,0.0269,13,-9999,-78.8,-11.3,0.068,0.22,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
5/3/2011 13:15,FLUME_UJ,JEMEZ_S 425,GRAB,Grab,Surface water,7.1,7.6,5.1,-9999,68.7,0.45,4.483,4.02,0.2394,0.0404,0.7625,0.065,0.08,0.0629,4.0581,0.4016,6.066,0.7383,3.3722,1.1194,0.027,13.2894,0.0032,0.0413,138.6808,13289.4143,18.6,0.935,0.364,0.0634,2.03,67.3,0.0502,0.272,0.485,5.72,0.31,0.1534,242,0.355,0.0013,0.0024,0.0015,0.0243,8.57,134,244,34.6,77,32.3,5.89,39,5.2,39,9.22,25,3.92,22.8,4.94,0.234,0.0351,28.8,-6.9,-87.1,-12.4,0.06,0.015,1.32,7.398,0.047,"used bottles: 1L amber, 250ml HDPE"
4/25/2011 16:30,FLUME_UJ,JEMEZ_S 426,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,4.372,6.387,0.3259,0.0472,1.6917,0.0487,0.08,0.1513,4.9703,0.4533,5.5712,0.7422,3.4314,1.3822,0.0286,12.8581,0.0041,0.0462,166.5572,12858.0598,22.3,1.34,0.511,0.109,1.25,89.8329,0.0621,0.441,1.71,2.18,0.366,0.1602,511,0.33,0.003,0.0051,0.0284,0.0339,9.83,285,415,74.8,246,74,11.4,82.2,12.3,76.6,17.9,49.9,7.39,47.5,9.08,0.234,0.0495,41.3,-9999,-87.2,-12.4,0.083,0.015,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
4/26/2011 16:30,FLUME_UJ,JEMEZ_S 427,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,4.779,5.012,0.1953,0.2865,1.7627,0.08,0.025,1.3055,2.5254,0.7716,5.7766,0.7912,3.5392,1.1899,0.0287,13.5466,0.0036,0.0499,141.7712,13546.5759,18.1,1.55,0.43,0.0913,1.4,99.9,0.0556,0.384,1.3,1.44,0.315,0.1498,335,0.316,0.0166,0.0016,0.0375,0.0327,8.68,194,320,51.3,130,50.1,8.5,55.1,8.13,51,12.6,33.8,5,31,6.45,0.234,0.046,35.8,-9999,-86.9,-12.4,0.064,0.011,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
4/27/2011 16:30,FLUME_UJ,JEMEZ_S 428,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,4.65,5.431,0.257,0.148,1.244,0.0453,0.08,0.1064,4.8203,0.4067,5.4886,0.7318,3.2813,1.1713,0.0283,12.3494,0.0041,0.0328,146.3638,12349.4485,19.8,1.07,0.482,0.118,1.31,96.3,0.0538,0.473,1.41,1.33,0.351,0.2076,424,0.321,0.0023,0.0037,0.0345,0.0325,9.59,253,399,65.2,178,62.1,9.79,68.8,9.71,68.1,16,41.8,6.12,40.7,7.33,0.234,0.156,36.4,-9999,-84.8,-12.2,0.062,0.014,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
4/28/2011 16:30,FLUME_UJ,JEMEZ_S 429,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,4.823,4.835,0.2057,0.1326,0.9951,0.065,0.08,0.125,4.2779,0.6401,5.5115,0.7405,3.5228,1.1591,0.0296,12.9738,0.0042,0.0481,158.1477,12973.795,21.6,1.3,0.51,0.114,1.5,90.2,0.0544,0.361,1.47,3.35,0.359,0.0872,319,0.369,0.0173,0.0008,0.137,0.031,9.64,201,347,50.2,127,51.8,8.9,56.4,7.37,53.7,11.4,34.7,4.8,29.9,5.91,0.234,0.0703,37.4,-9999,-86.2,-12.2,0.073,0.017,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
4/29/2011 16:30,FLUME_UJ,JEMEZ_S 430,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,5.087,4.786,0.1937,0.0896,1.0976,0.065,0.08,0.1205,4.7605,0.4064,6.148,0.8324,3.8525,1.3514,0.0312,14.412,0.0047,0.0417,175.858,14411.9711,23.8,1.24,0.517,0.0971,1.57,101,0.0507,0.455,0.568,1.8,0.378,0.0552,257,0.37,0.0168,0.0016,0.125,0.0296,10.3,149,260,38.5,89.2,35,6.95,40.6,5.47,40,9.84,26.7,3.66,24,5.11,0.234,0.0388,34.1,-9999,-85.8,-12.2,0.063,0.019,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
4/30/2011 16:30,FLUME_UJ,JEMEZ_S 431,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,4.937,4.259,0.1898,0.0119,1.0501,0.0679,0.08,0.0347,4.2718,0.3439,5.8998,0.7847,3.6775,1.2704,0.0318,13.7859,0.0054,0.0151,157.328,13785.8632,22.5,1.08,0.483,0.0899,1.61,86.5,0.0558,0.326,0.992,2.6,0.377,0.125,248,0.387,0.0236,0.0025,0.109,0.0249,13,147,254,36.5,96.4,33.4,6.65,42.7,5.63,38.2,9.67,24.8,3.69,21.5,4.74,0.234,0.0335,32,-9999,-85.7,-12.2,0.069,0.019,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
5/2/2011 16:30,FLUME_UJ,JEMEZ_S 432,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,4.529,4.111,0.2108,0.0129,0.9507,0.0183,0.08,0.0958,3.9716,0.3383,5.1587,0.6897,3.327,1.0616,0.0278,12.7846,0.0037,0.0391,119.8092,12784.6286,17,1.02,0.367,0.0611,1.45,58.4,0.0461,0.282,1.15,1.49,0.275,0.0996,220,0.312,0.0086,0.003,0.0832,0.0245,8.6,124,208,31.1,86.2,31.9,6.45,37,4.83,34.8,9.11,23.2,3.2,20.7,4.62,0.234,0.0347,28,-9999,-88.2,-12.7,0.056,0.014,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
5/3/2011 12:15,FLUME_LJ,JEMEZ_S 433,GRAB,Grab,Surface water,7.1,7.2,4.2,-9999,72.7,0.45,5.285,5.666,0.5294,0.0253,1.1671,0.065,0.08,0.0691,4.8929,0.593,5.8189,0.8572,4.3935,1.2145,0.0379,12.3212,0.0033,0.0362,150.94,12321.2358,7.11,1.08,0.56,0.109,3.9,94.6,0.133,0.516,1.08,1.13,0.332,0.1089,326,0.345,0.0021,0.0047,0.0015,0.0378,16.3,227,421,59.3,122,58.3,10.8,58.8,8.16,56.5,12.4,34.5,5.12,29.6,5.87,0.234,0.0716,39.9,-9999,-86,-12.2,0.091,0.005,1.29,1.647,0.021,"used bottles: 1L amber, 250ml HDPE"
5/3/2011 11:45,FLUME_HG,JEMEZ_S 434,GRAB,Grab,Surface water,7,7.3,4,-9999,67.7,0.3,2.823,-9999,0.1157,0.2169,1.0794,0.0487,0.08,0.125,4.6093,0.3865,3.5858,0.6335,2.5898,0.771,0.0214,9.7415,0.0036,0.0048,150.2063,9741.4937,10.6,0.771,0.21,0.0423,1.54,46,0.0289,0.198,0.44,0.649,0.146,0.163,366,0.133,0.0013,0.003,0.0015,0.0212,6.52,203,358,51.9,130,46,8.29,56.3,7.81,51.4,13,33,4.54,27.4,5.79,0.234,0.0371,15.6,-8.6,-87.2,-12.4,0.059,0.008,1.38,3.472,0.05,"used bottles: 1L amber, 250ml HDPE"
5/3/2011 11:15,FLUME_LLJ,JEMEZ_S 435,GRAB,Grab,Surface water,6.5,7.4,2,-9999,67.3,0.26,3.536,3.24,0.1231,0.0839,0.689,0.065,0.08,0.0919,3,0.4586,4.0551,0.4358,2.4008,0.4237,0.0217,8.4331,0.0023,0.0233,113.5844,8433.0864,30,0.499,0.188,0.0431,0.661,15.6,0.0231,0.137,0.279,0.482,0.215,0.103,101,0.122,0.0021,0.0013,0.0015,0.0162,4.61,56.6,172,15.1,0.615,12.8,3.36,16,1.91,17.6,5.37,10.9,1.34,8.97,2.29,0.234,0.0153,7.46,-9.3,-87.7,-12.7,0.071,0.027,1.37,4.541,0.04,"used bottles: 1L amber, 250ml HDPE"
4/26/2011 15:00,FLUME_LLJ,JEMEZ_S 436,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,3.724,2.648,0.2077,0.7374,1.5756,0.065,0.08,0.125,2.6149,0.6039,4.438,0.4735,2.5954,0.4834,0.0242,9.3515,0.0029,0.0234,134.7255,9351.5353,33.1,0.781,0.228,0.0529,0.418,22,0.0332,0.199,1.56,1.71,0.265,0.1599,138,0.122,0.0016,0.0009,0.0015,0.0211,5,81.9,209,19.4,19.7,19.5,3.84,21.6,2.84,22.7,5.65,12.9,1.91,10.3,3.04,0.234,0.0285,8.88,-9999,-88.8,-12.8,0.061,0.028,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
5/3/2011 9:45,VGJJ7,JEMEZ_S 437,GRAB,Grab,Surface water,7.3,7.5,3.9,-9999,69.9,0.75,7.798,4.39,0.2295,0.6868,3.2641,0.065,0.08,0.125,2.625,0.4985,5.7845,1.1143,10.2904,0.9174,0.0316,20.2966,0.0068,0.0536,219.2031,20296.5795,18.7,3.59,1.13,0.275,4.35,88.2901,0.186,0.45,3.34,2.9,0.898,0.125,295,1.24,0.0028,0.0062,0.0015,0.061,12.8,274,532,67.8,74.7,55.4,9.53,53.7,8.28,51.9,11.5,30.9,4.27,26.1,5.41,0.234,0.13,53.6,-9999,-81.9,-11.6,0.05,0.007,1.31,2.167,0.057,"used bottles: 1L amber, 250ml HDPE"
4/26/2011 16:00,VGJJ7,JEMEZ_S 438,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,8.122,4.815,0.306,0.7854,3.5344,0.065,0.08,0.0797,2.5979,0.3659,5.7401,1.0949,10.0095,1.0459,0.0297,17.5268,0.0068,0.0197,212.4458,17526.7773,7.29,4.01,1.1,0.242,1,92.7408,0.0708,0.535,1.96,2.79,0.933,0.189,225,1.28,0.074,0.0048,0.0142,0.0699,11.2,206,368,51.7,75.3,43.1,8.35,41.4,6.07,39.4,8.84,22.9,3.28,19.6,4.03,0.234,0.129,62.7,-9999,-81.1,-11.3,0.076,0.009,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
4/28/2011 16:00,VGJJ7,JEMEZ_S 439,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,7.27,4.26,0.3342,0.846,2.2814,0.065,0.08,0.0912,2.7228,0.4879,6.0539,1.0993,10.1761,1.0415,0.0306,20.3124,0.0066,0.0377,330.5748,20312.4263,12,3.8,1.45,0.306,1.44,338.5404,0.0922,0.442,2,1.83,1.02,0.1566,291,1.4,0.0096,0.0009,0.0015,0.0624,10.5,269,499,65.9,98.9,54.9,9.95,55,8.35,51.5,11.8,28.1,4.16,25.1,4.72,0.234,0.0959,82,-9999,-81.4,-11,0.086,0.003,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
5/3/2011 10:30,VGJJ9,JEMEZ_S 440,GRAB,Grab,Surface water,7.4,7.6,5.1,-9999,68.3,0.81,8.371,3.982,0.3077,0.7282,1.9305,0.065,0.08,0.125,2.3239,0.5215,6.0667,1.1527,10.5678,0.9041,0.0308,19.5505,0.0072,0.0415,169.281,19550.4886,17.6,2.88,1.05,0.23,5.03,73.5834,0.104,0.43,1.09,1.6,0.87,0.262,220,1.55,0.0021,0.0024,0.0015,0.0671,10.2,197,399,49.9,57.7,40.5,8.38,43.5,5.59,38.3,9.24,22.7,3.05,18.9,4.12,0.234,0.101,52,-9999,-81.9,-11.2,0.061,0.007,1.32,2.764,0.054,"used bottles: 1L amber, 250ml HDPE"
5/4/2011 3:00,FLUME_MCZOB,JEMEZ_S 441,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,2.704,12.98,0.4773,0.055,0.5712,0.065,0.08,0.125,8.9429,0.6143,7.1232,0.6967,1.955,1.4814,0.0343,9.7259,0.0031,0.156,219.175,9725.8924,18.7,1.35,0.496,0.225,3.44,126.8084,0.104,0.777,1.56,2.66,0.42,0.236,1410,0.161,0.0023,0.009,0.0015,0.0427,15.6,884,1270,251,850,257,42.5,264,38.4,229,47.7,140,19.8,133,21.7,0.234,0.111,76.3,-9999,-88.4,-12.3,0.036,0.005,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
5/4/2011 14:00,WestTribLJ,JEMEZ_S 442,GRAB,Grab,Surface water,-9999,7.3,-9999,-9999,-9999,0.3,2.885,5.212,0.1465,0.2637,0.9601,0.0216,0.08,0.125,2.8984,0.413,4.5126,0.5132,2.2563,1.5994,0.0207,13.2584,0.0044,0.0555,197.0782,13258.3536,23.7,1.56,0.44,0.0851,1.58,134.78,0.218,0.478,2.46,1.21,0.959,0.1275,462,0.288,0.003,0.003,0.0015,0.0449,7.5,236,408,68.5,200,73.7,13.8,81.4,11.8,80.5,18.2,48.8,7.42,51.7,9.54,0.234,0.0575,56.3,-10.2,-89.2,-12.9,0.003,0.013,1.34,8.695,0.049,"used bottles: 1L amber, 250ml HDPE"
5/4/2011 15:00,FLUME_MCZOB,JEMEZ_S 443,GRAB_Auto,Grab,Surface water,-9999,-9999,-9999,-9999,-9999,-9999,2.264,12.68,0.5886,0.055,0.5073,0.065,0.08,0.125,7.2638,0.2725,6.013,0.5621,1.7569,1.4415,0.0306,8.8334,0.0047,0.166,197.8203,8833.3609,24.2,1.84,0.529,0.221,3.23,87.746,0.094,0.753,1.43,2.92,0.43,0.1247,1120,0.0827,0.0029,0.0062,0.0015,0.051,14.3,689,900,191,697,192,33.1,202,30.4,176,38.8,107,15.2,99.9,17.2,0.234,0.0757,66.5,-9999,-86.3,-12.4,0.027,0.009,-9999,-9999,-9999,"used bottles: 1L amber, 250ml HDPE"
