DateTime,SiteCode,SampleCode,SamplingMethod,SampleType,SampleMedium,pH,Temp,EC,DO,TIC,TOC,TN,F,Cl,NO2,Br,NO3,SO4,PO4,Be9,B11,Na23,Mg24,Al27,Si28,P31,K39,Ca40,Ti49,V51,Cr52,Mn55,Fe56,Co59,Ni60,Cu63,Zn64,As75,Se78,Sr88,Y89,Mo98,Ag107,Cd114,Sn118,Sb121,Ba138,La139,Ce140,Pr141,Nd145,Sm147,Eu153,Gd157,Tb159,Dy164,Ho165,Er166,Tm169,Yb174,Lu175,TI205,Pb208,U238,dD,d18O,NH4-N,Ortho-P,FI,HIX,UVA254,UVA280,SUVA254,SUVA280,SamplingNote
MST,,,,,,pH,degC,uS/cm,%,mg/L,mg/L,mg/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,umoles/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ng/L,ug/L,ug/L,ng/L,‰,‰,mg/L,mg/L,nm/nm,nm/nm,au,au,au,au,
(Detection limit),,,,,,,,,,0.00023,0.00026,0.0002,2.37,0.82,3.34,1.9,0.51,0.84,1.45,0.00424,2.265,0.7582,0.0403,0.00424,0.66,3.2668,0.1443,0.4243,0.0106,0.1527,0.123,0.00212,0.1761,0.1252,0.00636,0.00212,0.01485,0.00849,0.2715,0.0127,0.7637,0.0764,0.0127,0.0382,0.1782,0.00636,0.0191,2.1001,4.5184,0.3606,0.6788,0.1909,0.9758,0.7849,0.0424,0.2969,0.0424,0.2969,0.0212,0.063,0.0212,0.0658,0.00212,0.1365,0.4,0.1,0.01,0.01,,,,,,,
(Lab Method),,,,,,PH_EC1,OxyTem,PH_EC1,OxyTem,TOC-VCSH,TOC-VCSH,TOC-VCSH,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,DionexIC,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,ICP-MS,WIA_LGR,WIA_LGR,SmartChem200,SmartChem200,Fluoromax4,Fluoromax4,UV_Vis,UV_Vis,UV_Vis,UV_Vis,
3/11/2012 4:30,LaJaraMidWay,JEMEZ_s606,GRAB,Grab,Surface water,6.3,-9999,51.7,-9999,3.688,1.419,0.2916,1.185,15.25,1.67,0.95,10.24,27.54,0.725,0.00212,1.1325,2086.62,518.96,30.08,7538.24,199.89,33.84,191.12,0.69,0.73,0.02,0.53,24.17,0.15,0.43,0.9,44.08,0.16,7.27,21.56,231.84,0.17,0.01,0.04,0.01,0.02,5.36,138.99,316.2,33.05,155.41,33.55,5.77,30.33,5.38,30.11,8.8,22.58,2.74,16.13,3.62,0.0329,0.31,7.72,-88.83,-12.87,0.0149,0.032200001,1.38,4.398008,0.058,0.046,0.040873855,0.032417195,
3/12/2012 2:00,FLUME_UJ,JEMEZ_s607,GRAB,Grab,Surface water,7.7,0.7,-9999,72.3,5.262,3.763,0.4105,1.185,27.16,1.67,0.95,14.87,41.73,0.725,0.00212,1.1325,3323.65,892.05,67.46,12811.94,210.89,69.65,286.57,1.1,1.17,0.0615,1.64,69.94,0.2,0.49,0.7,2.14,0.14,12.03,27.6,492.79,0.5,0.02,0.03,0.01,0.04,9.56,364.79,561.93,93.96,408.23,83.68,15.71,103.75,13.58,84.46,17.65,51,5.43,54.79,8.63,0.0329,0.1,23.15,-84.63,-12.12,0.022,0.0297,1.38,5.147267,0.172,0.135,0.045708212,0.035875631,
3/15/2012 9:30,EFJR,JEMEZ_s608,GRAB,Grab,Surface water,6.6,0.3,-9999,-9999,6.697,12.32,0.5564,37.7,82.09,1.67,0.95,0.255,15.38,0.725,0.00212,1.1325,14079.43,2883.29,258.84,20770.94,419.19,2681.93,17486.78,3.5,0.42,0.42,246.26,202.79,0.0626,1.66,1.65,5.34,1.64,2.75,69.64,331.98,1.86,0.0064,0.0191,0.0891,0.00318,36.75,259.51,506.9,67.63,258.7,55.21,16.35,69.75,8.38,55.11,12.31,36.24,5.05,30.89,5.35,0.0329,0.00106,64.5,-88.89,-12.67,0.0156,0.103200004,1.35,9.221689,0.495,0.385,0.040178571,0.03125,dug hole for sample; no access to stream gage site
3/15/2012 11:25,FLUME_UR,JEMEZ_s609,GRAB,Grab,Surface water,7.1,0.4,-9999,80.4,6.651,5.734,0.7667,1.185,71.53,1.67,0.95,0.255,141.98,0.725,0.00212,1.1325,6018.79,1152.85,356.04,14401.39,375.51,1387.96,17411.39,1.82,0.23,0.3,3.62,44.36,0.0626,0.00318,0.00106,1.46,0.82,1.28,80.93,120.9,0.0382,0.0064,0.0191,0.0891,0.00318,14.35,171.94,193.4,27.25,118.26,22.78,6,27.15,3.36,18.81,4.07,16.17,1.63,12.71,1.63,0.0329,0.00106,35.08,-81.29,-11.88,0.016100001,0.023700001,1.41,6.966468,0.167,0.128,0.02912452,0.022322986,dug out snow
3/15/2012 13:00,FLUME_RM,JEMEZ_s610,GRAB,Grab,Surface water,6.6,0.2,-9999,73.4,4.463,3.443,0.2464,1.185,19.68,1.67,0.95,0.255,32.27,0.725,0.00212,1.1325,5380.46,534.68,260.96,14175.61,571.93,1141.47,7929.29,3.33,0.56,0.7,0.00106,68.06,0.0626,0.00318,0.00106,1.82,2.23,0.28,24.16,119.71,1.48,0.0064,0.0191,0.0891,0.00318,3.6,153.42,269.26,28.84,103.87,19.9,2.64,21.22,2.44,21.12,3.05,15.03,2.54,11.88,1.83,0.0329,0.00106,15.63,-79.91,-11.78,0.0131,0.208199993,1.26,8.315081,0.154,0.123,0.044728435,0.035724659,dug out snow
3/15/2012 12:30,FLUME_LR,JEMEZ_s611,GRAB,Grab,Surface water,7.3,0.9,-9999,87,5.705,4.497,0.5343,1.185,68.51,1.67,0.95,16.94,125.63,0.725,0.00212,1.1325,7098.45,1150.97,142.3,13997.01,390.52,1628.56,13197.78,1.83,0.26,0.58,1.88,43.38,0.0626,1.34,1.06,2.84,1.3,0.78,56.54,128.27,0.0382,0.0064,0.0191,0.0891,0.00318,16.82,148.85,250.84,31.79,127.66,26.9,7.03,22.41,3.16,27.1,4.18,14.67,1.94,9.78,1.83,0.0329,0.00106,20.26,-80.52,-11.74,0.0111,0.0447,1.38,3.916678,0.214,0.161,0.04758728,0.035801646,some snow in flume
3/14/2012 10:00,FLUME_LJ,JEMEZ_s612,GRAB,Grab,Surface water,7,0.2,-9999,54.5,10.67,7.899,0.5827,1.185,45.57,1.67,0.95,0.255,45.81,0.725,0.00212,1.1325,4617.8,3255.25,264.86,13752.37,453.8,3490.14,19419.1,2.15,0.37,0.33,24.02,112.82,0.0626,1.29,1.58,2.86,1.37,0.44,81.4,278.66,0.0382,0.0064,0.0191,0.0891,0.00318,42.33,273.81,392.08,61.31,254.82,55.65,16.26,47.37,8.99,45.45,9.49,31.82,3.54,26.26,3.94,0.0329,0.00106,95.95,-88.53,-12.85,0.0124,0.076200001,-9999,-9999,-9999,-9999,-9999,-9999,dug out snow & ice; ice backing up flow in flume
3/27/2012 9:30,FLUME_UR,JEMEZ_s613,GRAB,Grab,Surface water,6.9,1.1,-9999,67.9,4.245,9.464,0.5956,1.185,95.75,1.67,0.95,16.93,171.07,0.725,0.00212,1.1325,5843.44,2129.57,252.65,14713.32,404.14,1818.42,14696.03,2.48,0.34,0.29,6.18,69.38,0.0626,1.22,0.00106,2.62,1.16,0.1358,66.92,340.18,0.0382,0.0064,0.0191,0.0891,0.00318,15.28,293.24,557.78,75.54,306.77,57.81,11.48,69.49,9.94,61.39,12.91,41.82,4.82,37.62,6.25,0.0329,0.00106,43.15,-78.84,-11.41,0.029200001,0.032699998,1.37,4.768302,0.436,0.33,0.046069315,0.034868977,
3/27/2012 11:00,FLUME_LR,JEMEZ_s614,GRAB,Grab,Surface water,7,1.9,-9999,63.7,3.268,7.912,0.4874,1.185,78.59,1.67,0.95,0.255,192.11,0.725,0.00212,1.1325,6284.36,1057.23,195.49,13530.39,369.23,1844.9,12161.74,1.73,0.39,0.35,3.93,68.73,0.0626,1.17,1.78,5.85,1.42,0.1358,54.42,353.63,0.0382,0.0064,0.0191,0.0891,0.00318,21.19,317.34,675.22,84.43,343.9,69.02,14.09,71.05,13.38,65.17,14.6,42.06,7.7,41.15,6.59,0.0329,0.00106,42.97,-81.05,-11.73,0.113899998,0.033399999,1.36,2.589966,0.894,0.668,0.112992922,0.084428716,
3/27/2012 11:30,FLUME_RM,JEMEZ_s615,GRAB,Grab,Surface water,6.6,5.1,-9999,59.5,5.06,3.177,0.2032,11.43,20.91,1.67,0.95,0.255,33.96,0.725,0.00212,1.1325,5725.85,640.71,232.51,14334.68,578.02,936.71,8909.55,2.83,0.51,0.27,0.00106,53.5,0.0626,0.00318,0.00106,34.28,2.44,1.76,29.69,123.12,1.28,0.0064,0.0191,0.0891,0.00318,4.27,148.57,252.7,26.06,101.3,22.62,4.44,27.88,3.13,19.59,3.53,13.63,2.52,10.91,2.73,0.0329,0.00106,16.3,-80.56,-11.77,0.103500001,0.217099994,1.26,7.655459,0.152,0.121,0.047843878,0.038086245,flow estimated - going under flume
3/26/2012 11:00,FLUME_UJ,JEMEZ_s616,GRAB,Grab,Surface water,7.2,2.4,-9999,71.8,3.388,10.05,0.6947,1.185,28.46,1.67,0.95,22.06,53.13,0.725,0.00212,1.1325,3356.8,1045.33,712.99,13105.96,337.72,1531.1,9408.77,7.12,0.9,0.54,4.42,420.59,0.0626,1.12,1.26,4.29,1.26,1.55,34.45,859.14,0.0382,0.0064,0.0191,0.0891,0.00318,13.89,781.32,1662.95,199.21,803.81,173.06,30.3,180.26,26.45,146.52,28.17,83.39,14.59,83.29,12.97,0.0329,0.00106,84.2,-83.88,-12,0.031199999,0.0252,1.36,3.885934,0.591,0.453,0.05880597,0.045074627,
3/26/2012 13:00,FLUME_LJ,JEMEZ_s617,GRAB,Grab,Surface water,7.1,5.6,-9999,57.3,7.265,12.44,0.819,1.185,37.9,1.67,0.95,0.255,52.03,0.725,0.00212,-9999,3124.88,1811.98,457.59,10238.08,434.48,3097.41,16141.86,4.19,0.94,0.86,9.85,335.03,0.0626,2.23,2.75,10.18,1.65,2.26,66.85,601.46,0.0382,0.0064,0.0191,0.0891,0.00318,44.24,646.29,1188.1,166.98,637.37,119.5,28.51,139.89,20.9,120.31,23.84,67.56,10.55,58.43,9.84,0.0329,0.00106,176.51,-83.76,-11.9,0.036699999,0.087200001,1.38,5.517136,0.624,0.477,0.050160772,0.038344051,
3/26/2012 13:45,FLUME_HG,JEMEZ_s618,GRAB,Grab,Surface water,6.4,4.4,-9999,60.3,2.137,5.497,0.594,1.185,43.32,1.67,0.95,19.33,43.23,0.725,0.00212,1.1325,3042.02,699.82,345.17,12953.26,368.85,1016.85,7835.8,0.0053,0.1,0.4,2.71,46.19,0.0626,0.00318,1.93,4.44,0.00424,2.42,20.75,527.4,0.0382,0.0064,0.0191,0.0891,0.00318,6.31,320.05,568.21,81.91,370.87,78.67,12.55,107.22,17.11,82.62,16.81,55.79,7.49,44.25,7.69,0.0329,0.00106,30.17,-85.31,-12.2,0.0122,0.015900001,1.35,1.470005,0.414,0.312,0.075313808,0.056758232,
3/26/2012 15:00,FLUME_LLJ,JEMEZ_s619,GRAB,Grab,Surface water,6.4,7.4,-9999,56.1,3.09,5.572,0.398,1.185,27.84,1.67,0.95,0.255,31.92,0.725,0.00212,-9999,2676.54,595.3,194.49,10028.02,351.51,789.72,7972.51,0.0053,0.28,0.33,2.71,46.27,0.0626,0.00318,0.00106,2.79,0.00424,0.77,26.66,380.3,0.0382,2.13,0.0191,0.0891,0.00318,7.28,269.8,665.39,65.61,263.96,73.16,8.15,64.51,9.86,54.04,13.79,44.18,5.74,33.61,5.53,0.0329,0.00106,28.88,-85.26,-12.21,0.0086,0.039099999,1.34,4.407887,0.261,0.198,0.04684135,0.035534817,
3/27/2012 13:45,FLUME_ULJ,JEMEZ_s620,GRAB,Grab,Surface water,6.5,7.9,-9999,73.4,2.812,5.149,0.4265,1.185,26,1.67,0.95,0.255,32.77,0.725,0.00212,-9999,2614.23,588.89,293.21,9865.55,318.77,753.27,8160.98,0.0053,0.27,1.33,1.49,39.51,0.0626,0.00318,2.86,8.04,0.00424,0.1358,26.48,354.76,0.0382,0.0064,0.0191,0.0891,0.00318,6.97,240.72,557.27,57.43,236.88,61.47,10.41,54.49,8.29,52.57,11.22,38.72,5.66,28.71,5.66,0.0329,0.00106,30.03,-84.79,-12.17,0.0097,0.034200002,1.38,3.398941,0.242,0.183,0.046999417,0.035540882,
3/26/2012 15:45,EFJR,JEMEZ_s621,GRAB,Grab,Surface water,6.8,9.1,-9999,47.1,6.948,9.582,0.5534,1.185,80.05,1.67,0.95,0.255,31.91,0.725,0.00212,1.1325,5169.46,1621.79,396.73,10710.79,425.61,2466.42,13651.58,1.97,0.93,0.34,3.28,177.57,0.04,1.38,1.99,6.22,0.00424,1.77,55.49,384.7,0.0382,0.0064,0.0191,0.0891,0.00318,34.64,369.71,614.87,86.99,348.65,77.47,18.23,74.53,10.94,62.48,12.25,44.15,6.48,43.04,5.37,0.0329,0.00106,86.88,-82.85,-11.61,0.0217,0.066200003,1.39,4.82976,0.508,0.394,0.053016072,0.041118764,
4/3/2012 11:30,FLUME_UR,JEMEZ_s622,GRAB,Grab,Surface water,7.7,0.8,-9999,84.6,4.4,6.56,0.4147,1.185,88.44,1.67,0.95,10.13,130.5,0.725,0.00212,1.1325,5367.47,914.41,285.58,14254.64,389.11,1608.7,12784.4,3.15,0.47,0.46,13.04,154.68,0.03,1.21,1.42,7.8,0.00424,0.1358,56.5,341,0.0382,0.0064,0.0191,0.0891,0.00318,15.25,421.05,751.89,87.51,351.79,64.49,14.52,71.54,10.47,53.4,10.68,37.43,5.7,32.76,5.91,0.0329,0.00106,39.09,-82.98,-12.16,0.012,0.032900002,1.36,4.18433,0.309,0.233,0.047103659,0.035518293,
4/3/2012 12:00,FLUME_LR,JEMEZ_s623,GRAB,Grab,Surface water,7.6,0.4,-9999,86.5,3.904,6.196,0.3413,1.185,112.25,1.67,0.95,0.255,137.94,0.725,0.00212,1.1325,5849.11,999.7,275.96,14148.24,375.05,1634.18,12280.9,1.27,0.39,0.26,8.04,71.79,0.0626,1.09,1.42,4.28,0.00424,0.45,50.33,313.37,0.0382,0.0064,0.0191,0.0891,0.00318,19.31,331.96,642.47,70.86,311.74,66.37,12.76,60.65,8.78,57.79,9.8,33.8,6.23,36.15,5.11,0.0329,0.00106,32.67,-83.84,-12.18,0.0113,0.034499999,1.37,2.997704,0.328,0.246,0.052937379,0.039703034,
4/3/2012 13:00,FLUME_RM,JEMEZ_s624,GRAB,Grab,Surface water,7.3,0.3,-9999,80.3,4.897,2.345,0.1533,10.49,24.23,1.67,0.95,0.255,29.31,0.725,0.00212,1.1325,5047.94,555.36,199.31,12898.11,581.73,895.69,8105.13,0.0053,0.34,0.24,0.00106,14.77,0.0626,0.00318,0.00106,2.32,0.00424,0.78,26.83,70.44,0.0382,0.0064,0.0191,0.0891,0.00318,3.55,85.38,130.31,12.1,46.35,5.79,3.05,13.01,1.42,10.57,1.93,8.13,0.0106,7.22,1.12,0.0329,0.00106,5.08,-89.24,-12.43,0.018999999,0.194999993,1.33,3.866019,0.086,0.07,0.036673774,0.029850746,
4/2/2012 11:30,FLUME_UJ,JEMEZ_s625,GRAB,Grab,Surface water,6.9,2.3,-9999,76.1,3.209,9.097,0.5417,1.185,24.87,1.67,0.95,11.84,49.86,0.725,0.00212,1.1325,3355.11,948.69,325.61,12808.53,316.6,1293.46,8321.3,0.0053,0.34,0.41,3.28,95.48,0.0626,1.06,1.02,2.32,0.00424,0.94,32.54,775.88,0.0382,0.0064,0.0191,0.0891,0.00318,13.84,505.56,1069.09,133.84,562.72,124.89,23.59,127.03,19.63,135.87,27.97,83.9,11.39,77.09,13.32,0.0329,0.00106,78.31,-82.73,-12.09,0.041000001,0.0222,1.31,3.204836,0.502,0.376,0.055183027,0.041332307,
4/2/2012 12:30,FLUME_LJ,JEMEZ_s626,GRAB,Grab,Surface water,7,4.5,-9999,72.8,5.287,12.13,0.5434,1.185,23.24,1.67,0.95,0.255,55.92,0.725,0.00212,1.1325,3621.14,1227.98,656.68,12574.62,410.12,1778.97,11102.35,2.85,0.69,0.35,12.65,123.15,0.04,1.53,1.98,2.91,0.00424,1.28,53.96,592.64,0.0382,0.0064,0.0191,0.0891,0.00318,32.41,452.83,872.97,115.07,471.43,110.17,23.91,119.47,15.74,103.83,20.85,66.53,10.42,61.32,10.53,0.0329,0.00106,90.04,-80.42,-11.68,0.0208,0.0572,1.39,4.997724,0.627,0.477,0.051690025,0.03932399,
4/2/2012 13:30,FLUME_HG,JEMEZ_s627,GRAB,Grab,Surface water,6.9,3.4,-9999,78.2,2.659,5.13,0.579,1.185,24.9,1.67,0.95,24.16,45.4,0.725,0.00212,1.1325,2900.75,710.89,191.54,12432.88,317.22,880.53,6254.82,0.0053,0.1,0.19,0.00106,27.2,0.0626,0.00318,0.00106,9.89,1.26,0.12,21.02,401.12,0.0382,0.0064,0.0191,0.0891,0.00318,5.38,260.14,356.74,59.42,268.47,70.6,9.35,61.56,9.75,64.7,12.6,41.04,5.38,36.16,5.49,0.0329,0.00106,24.58,-84.85,-12.2,0.0242,0.0166,1.37,1.583105,0.337,0.252,0.065692008,0.049122807,
4/2/2012 14:00,FLUME_LLJ,JEMEZ_s628,GRAB,Grab,Surface water,6.9,3.3,-9999,62.7,2.871,5.231,0.3869,1.185,18.6,1.67,0.95,10.87,33.81,0.725,0.00212,-9999,2401.49,568.81,306.8,11263.06,364.79,691.1,7260.58,0.0053,0.21,0.21,1.34,32.13,0.0626,0.00318,0.00106,6.03,1.34,0.95,24.74,310.99,0.0382,0.0064,0.0191,0.0891,0.00318,5.81,217.77,465.31,50.1,210.79,51.03,9.65,56.57,7.7,53.8,11.6,32.86,3.9,30.6,4.62,0.0329,0.00106,27.11,-84.61,-12.51,0.022,0.028000001,1.36,3.202148,0.254,0.19,0.048556681,0.036321927,
4/2/2012 14:30,FLUME_ULJ,JEMEZ_s629,GRAB,Grab,Surface water,7,3.1,-9999,64.6,2.816,5.271,0.4224,1.185,24.96,1.67,0.95,14.45,32.31,0.725,0.00212,1.1325,2589.77,591.55,242.1,10962.22,332.82,717.63,7122.16,0.0053,0.21,0.36,2.17,49.02,0.0626,1.32,1.66,5.5,1.41,1.45,24.52,421.69,0.0382,0.0064,0.0191,0.0891,0.00318,6.23,286.43,685.75,68.86,291.77,72.86,10.78,73.38,12.01,69.99,15.19,43.31,4.52,35.82,5.75,0.0329,0.00106,37.87,-86.05,-12.42,0.043900002,0.0339,1.36,2.821273,0.258,0.194,0.048947069,0.03680516,
