SiteCode,SampleCode,Sample_Date,DateTime,Gage_Ht,Temperature  (C),pH (pH),EC (uS/cm),Cl (mg/L),NO3-N (ug N/L),SO4 (mg/L),Na (mg/L),K (mg/L),Mg (mg/L),Ca (mg/L),NH4-N (ug/L),PO4 (mg/L),dissolved org C (mg/L),dissolved inorganic C (mg/L),total dissolved N (mg/L),total dissolved P (ug P/L),SiO2 (mg/L),dissolved org N (mg/L),total suspended sediment (mg/L)
QG,21945,9/25/2001,9/25/2001 11:40,8.56,21.4,7.05,50.9,6.77,231,0.39,6.51,0.52,1.12,2.82,2.5,7.21,0.87,-9999,0.27,-9999,22.72,0.04,4.6
QP,21944,9/25/2001,9/25/2001 8:05,1.34,22.7,7.38,77.3,7.4,31,0.47,7.4,0.36,3.49,4.45,7.79,9.9,1.44,-9999,0.1,-9999,24.62,0.06,7.37
QS,21943,9/25/2001,9/25/2001 7:45,3.44,22.3,7.21,45.3,6.04,42,0.58,5.18,0.35,1.43,2.43,2.5,6.02,2.43,-9999,0.14,-9999,14.56,0.1,1.1
RI,21946,9/25/2001,9/25/2001 11:20,1.2,22.4,6.84,53.9,5.86,138,0.39,6.22,0.68,1.29,3.55,7.84,7.48,1.23,-9999,0.16,-9999,22.65,0.01,3.36
QG,120000912,9/25/2001,9/25/2001 10:45,-9999,-9999,-9999,53.9,6.4,-9999,-9999,-9999,0.56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.1,-9999,11
QG,21958,10/2/2001,10/2/2001 12:00,8.55,21.6,7.03,54.3,7.36,222,0.38,6.09,0.56,1.17,3.1,2.5,2,0.7,-9999,0.26,-9999,26.08,0.04,2.3
QS,21956,10/2/2001,10/2/2001 7:37,2.8,23.3,7.23,54.5,7.05,117,0.59,5.18,0.37,1.73,2.94,2.5,2,1.52,-9999,0.18,-9999,16.48,0.07,0.4
Q3,21964,10/2/2001,10/2/2001 9:06,4.52,24,7.46,111.6,8.9,119,0.67,8.72,0.75,3.6,5.69,2.5,14.74,0.54,-9999,0.15,-9999,0.57,0.03,0.9
Q2,21963,10/2/2001,10/2/2001 9:01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39.09,-9999,-9999
Q1,21962,10/2/2001,10/2/2001 9:20,9.72,24,7.48,109.9,8.63,175,1.38,9.95,0.95,3.69,6.84,7.07,19.98,0.92,-9999,0.22,-9999,46.37,0.04,7.32
RI,21959,10/2/2001,10/2/2001 11:40,1.19,22.5,6.92,62.4,6.54,143,0.4,6.14,0.67,1.44,4.34,6.57,2,0.68,-9999,0.15,-9999,28.28,0.01,1.5
QP,21957,10/2/2001,10/2/2001 7:55,1.24,23.1,7.37,86.8,8.03,54,0.45,7.14,0.39,3.97,5.23,8.1,6.26,1.13,-9999,0.1,-9999,25.91,0.04,5.61
MPR,21960,10/2/2001,10/2/2001 10:29,1.46,25,7.48,126.3,8.01,57,1.36,7.45,0.82,2.26,7.32,6.39,8.66,0.85,-9999,0.09,-9999,29.66,0.03,-9999
QG,21971,10/9/2001,10/9/2001 12:30,8.58,21.6,6.91,49,6.68,247,0.49,5.41,0.6,1.09,2.71,2.5,5.35,1.59,-9999,0.3,-9999,20.63,0.05,6.27
Q2,21976,10/9/2001,10/9/2001 9:00,0.06,24,7.37,110.2,7.6,119,1,7.57,1,2.97,6.18,11.43,15.77,1.53,-9999,0.18,-9999,35.59,0.05,8
Q1,21975,10/9/2001,10/9/2001 9:18,9.74,24,7.44,94.3,8.22,156,1.29,8.47,1.11,3.09,6.03,10.78,23.9,1.63,-9999,0.22,-9999,43.27,0.05,32.2
Q3,21977,10/9/2001,10/9/2001 8:50,4.6,24,7.39,89.3,8.53,90,0.7,7.57,0.75,2.99,4.67,2.5,15.67,1.23,-9999,0.14,-9999,35.35,0.05,2.81
QP,21970,10/9/2001,10/9/2001 7:45,1.52,22.7,7.12,65.7,7.84,39,0.6,5.78,0.42,2.61,3.52,6.34,4.27,3.09,-9999,0.13,-9999,0.13,0.09,16.03
QS,21969,10/9/2001,10/9/2001 7:30,3.96,22.2,6.88,42.7,6.97,43,0.63,4.51,0.52,1.27,2.25,2.5,2,4.32,-9999,0.14,-9999,18.57,0.1,5.5
MPR,21973,10/9/2001,10/9/2001 11:05,2.04,24.5,7.56,92.1,7.5,44,1.1,5.87,0.74,1.62,6.67,6.19,7.37,2.43,-9999,0.11,-9999,21.21,0.06,4
RI,21972,10/9/2001,10/9/2001 12:15,1.28,23,6.7,48.7,5.88,121,0.52,4.87,0.66,1.11,3.1,9.69,2,2.94,-9999,0.19,-9999,16.96,0.06,5.3
QG,120000913,10/10/2001,10/10/2001 13:50,-9999,-9999,-9999,31.5,4.5,-9999,-9999,-9999,0.66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,5.98,-9999,3210
QG,120000914,10/10/2001,10/10/2001 14:00,-9999,-9999,-9999,28.9,3.8,-9999,-9999,-9999,0.59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.8,-9999,5300
QG,120000915,10/10/2001,10/10/2001 14:15,-9999,-9999,-9999,26,3.7,-9999,-9999,-9999,0.57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.81,-9999,3500
QG,120000916,10/10/2001,10/10/2001 14:20,-9999,-9999,-9999,26.3,3.5,-9999,-9999,-9999,0.53,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.62,-9999,2610
QG,120000917,10/10/2001,10/10/2001 14:30,-9999,-9999,-9999,27.5,4,-9999,-9999,-9999,0.54,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.86,-9999,1400
QG,120000919,10/15/2001,10/15/2001 12:15,-9999,-9999,-9999,40.4,5.3,-9999,-9999,-9999,0.57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.7,-9999,100
QG,120000918,10/15/2001,10/15/2001 11:20,-9999,-9999,-9999,39.5,6,-9999,-9999,-9999,0.6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.3,-9999,298
QG,21984,10/16/2001,10/16/2001 11:50,8.58,21.1,6.9,50.4,6.94,232,0.45,5.43,0.54,1.02,2.67,2.5,2,1.31,-9999,0.27,-9999,19.55,0.04,4.2
Q3,21990,10/16/2001,10/16/2001 9:45,4.56,23.5,7.5,73.8,8.32,106,0.74,7.34,0.74,2.86,4.37,2.5,13.97,1.25,-9999,0.15,-9999,29.87,0.05,3.44
Q2,21989,10/16/2001,10/16/2001 10:00,9.72,23.5,7.49,81.5,7.35,112,0.98,7.06,1.04,2.59,5.02,2.5,16.12,1.41,-9999,0.17,-9999,29.85,0.05,8.57
Q1,21988,10/16/2001,10/16/2001 10:17,0.05,23.5,7.59,202,8.31,169,1.3,8.61,1.02,3,4.97,9.76,22.63,1.2,-9999,0.21,-9999,37.06,0.04,23.09
RI,21985,10/16/2001,10/16/2001 11:35,1.27,21.6,6.69,51.3,5.98,135,0.49,5.07,0.61,1.1,2.86,7.21,2,2.08,-9999,0.18,-9999,18.43,0.04,3.73
QP,21983,10/16/2001,10/16/2001 8:18,1.56,22.1,7.07,57.3,8.12,50,0.6,5.47,0.69,2.09,2.8,2.5,4.96,2.68,-9999,0.14,-9999,13.55,0.09,12.36
QS,21982,10/16/2001,10/16/2001 8:00,3.8,21.4,6.89,40.6,6.62,47,0.57,4.16,0.33,1.13,1.95,2.5,2,3.53,-9999,0.12,-9999,9.44,0.07,2.55
MPR,21986,10/16/2001,10/16/2001 10:44,1.99,23.5,7.37,73.2,7.43,70,1.09,5.6,0.62,1.56,6.7,2.5,9.91,2.14,-9999,0.14,-9999,17.3,0.06,0.96
MPR,21999,10/23/2001,10/23/2001 0:00,-9999,-9999,7.62,88.9,7.29,87,1.15,5.8,0.64,1.62,6.71,2.5,9.43,2.11,-9999,0.17,-9999,18.46,0.08,1.6
RI,21998,10/23/2001,10/23/2001 11:35,1.21,22.1,7.31,59.4,6.45,143,0.43,5.69,0.63,1.32,3.79,5.67,5.43,0.87,-9999,0.19,-9999,23.49,0.05,1.72
Q1,22001,10/23/2001,10/23/2001 9:45,9.7,23.5,7.36,104.6,8.09,179,1.25,8.21,1.17,2.88,5.25,15.03,20.73,1.04,-9999,0.27,-9999,35.11,0.07,32
Q3,22003,10/23/2001,10/23/2001 9:38,4.63,23.5,7.56,92,7.68,133,0.72,6.9,0.69,2.73,4.17,2.5,15.51,1.33,-9999,0.21,-9999,28.1,0.07,4.3
QP,21996,10/23/2001,10/23/2001 9:06,1.42,22.5,7.32,67.3,7.37,48,0.51,5.78,0.32,2.76,3.56,2.5,5.62,1.76,-9999,0.14,-9999,18.41,0.09,7.71
QS,21995,10/23/2001,10/23/2001 8:40,3.52,22,7.27,44.1,6.27,60,0.55,4.38,0.3,1.31,2.21,2.5,2,3.29,-9999,0.15,-9999,9.97,0.08,0.9
QG,21997,10/23/2001,10/23/2001 11:50,8.56,21.2,7.37,54.8,7.18,228,0.38,5.84,0.52,1.16,2.88,6.61,4.69,0.76,-9999,0.28,-9999,22.34,0.05,1.8
Q2,22002,10/23/2001,10/23/2001 9:30,0.07,24,7.29,92.8,6.94,135,0.92,6.55,1.05,2.41,5.23,8.53,13.53,1.35,-9999,0.2,-9999,27.77,0.06,34.71
Q2,22015,10/30/2001,10/30/2001 9:38,0.28,23.5,7.15,64.4,5.95,142,0.84,6.35,1.22,2.08,4.48,24.94,9.84,4.67,-9999,0.3,-9999,20.19,0.14,497
Q3,22016,10/30/2001,10/30/2001 9:33,4.78,24,7.12,89.8,7.38,135,0.65,7.37,0.92,2.9,4.37,14.98,15.18,2.65,-9999,0.26,-9999,26.55,0.11,65.33
Q1,22014,10/30/2001,10/30/2001 9:42,9.78,23.3,7.1,83.2,6.86,227,0.98,6.49,1.18,2.16,4.16,29.44,17.11,5,-9999,0.42,-9999,22.64,0.17,338.67
MPR,22012,10/30/2001,10/30/2001 10:17,1.73,24,7.87,90.3,7.36,80,1.24,6.4,0.66,1.95,8.51,2.5,11.65,1.4,-9999,0.16,-9999,22.15,0.08,0.4
QG,22010,10/30/2001,10/30/2001 11:10,8.63,21.2,7.1,48.7,6.7,205,0.48,5.37,0.61,1.03,2.69,25.79,4.41,2.62,-9999,0.28,-9999,18.25,0.05,14.18
QP,22009,10/30/2001,10/30/2001 7:55,1.32,22.5,7.44,80.2,7.93,68,0.48,6.59,0.34,3.51,4.61,2.5,7,1.14,-9999,0.13,-9999,22.92,0.06,6.56
QS,22008,10/30/2001,10/30/2001 7:40,3.2,22.2,7.24,48.8,6.68,96,0.57,4.79,0.29,1.51,2.6,2.5,2,2.07,-9999,0.17,-9999,12.98,0.07,0.4
RI,22011,10/30/2001,10/30/2001 10:55,1.4,21.5,6.9,53.6,6.22,140,0.47,5.3,0.63,1.2,3.43,12.4,2,1.57,-9999,0.19,-9999,20.73,0.03,27.8
QG,22023,11/6/2001,11/6/2001 10:31,8.58,21.3,7.07,51.9,6.8,229,0.44,5.92,0.5,1.12,3,2.5,5.84,2.09,-9999,0.31,-9999,20.01,0.08,2.6
Q3,22029,11/6/2001,11/6/2001 12:50,4.52,23,7.26,53.7,10.56,194.5,0.89,11.19,1.01,2.86,4.31,2.5,10.23,0.86,-9999,0.26,-9999,10.69,0.06,21.85
Q2,22028,11/6/2001,11/6/2001 12:44,0.06,23,7.21,45.3,11.22,204,1.47,11.79,1.46,2.96,5.71,2.5,17.43,2.06,-9999,0.21,-9999,33.96,0.01,10.93
Q1,22027,11/6/2001,11/6/2001 1:00,9.68,23,7.4,97,10.39,232,1.62,11.61,1.29,2.61,5.98,15.83,29.16,0.79,-9999,0.21,-9999,40.52,0.01,34.24
QS,22021,11/6/2001,11/6/2001 7:50,3.4,22,7.11,47.1,7.03,99,0.58,4.93,0.29,1.45,2.48,2.5,2,3.11,-9999,0.16,-9999,10.37,0.06,3.05
RI,22024,11/6/2001,11/6/2001 10:12,1.24,21.5,6.93,56.3,4.14,106,0.32,3.86,0.37,0.92,3.33,8.65,6.85,1.47,-9999,0.18,-9999,21.06,0.07,2.61
QP,22022,11/6/2001,11/6/2001 8:10,1.34,22.2,7.33,76.6,7.63,73,0.49,6.4,0.32,3.05,4.22,2.5,4.15,2.46,-9999,0.15,-9999,21.16,0.07,6.05
MPR,22025,11/6/2001,11/6/2001 1:31,1.8,24,7.26,69.9,9.86,116,1.52,8.57,0.93,1.95,6.59,18.17,9.4,2.23,-9999,0.23,-9999,16.59,0.1,8.73
QG,120000927,11/7/2001,11/7/2001 17:40,-9999,-9999,-9999,26.3,3.8,-9999,-9999,-9999,0.53,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.48,-9999,1360
QG,120000934,11/7/2001,11/7/2001 21:00,-9999,-9999,-9999,22.3,3.5,-9999,-9999,-9999,0.45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.57,-9999,2010
RI,32028000,11/7/2001,11/7/2001 0:00,-9999,-9999,-9999,-9999,4.36,139,0.55,3.66,0.57,0.72,1.88,29.29,4.51,5.98,-9999,0.31,-9999,8.54,0.14,-9999
QG,120000920,11/7/2001,11/7/2001 15:55,-9999,-9999,-9999,28.8,3.8,-9999,-9999,-9999,0.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.01,-9999,4240
QG,120000925,11/7/2001,11/7/2001 17:00,-9999,-9999,-9999,23.7,3.1,-9999,-9999,-9999,0.48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.16,-9999,1820
QG,120000939,11/7/2001,11/7/2001 22:00,-9999,-9999,-9999,24.1,4.2,-9999,-9999,-9999,0.42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.11,-9999,1030
QG,120000938,11/7/2001,11/7/2001 21:55,-9999,-9999,-9999,23.4,3.9,-9999,-9999,-9999,0.43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.99,-9999,1280
QG,120000937,11/7/2001,11/7/2001 21:40,-9999,-9999,-9999,22.3,3.3,-9999,-9999,-9999,0.41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.72,-9999,1610
QG,32026000,11/7/2001,11/7/2001 0:00,-9999,-9999,-9999,-9999,3.85,258,0.55,4.27,0.57,0.37,-9999,21.53,2,4.57,-9999,0.41,-9999,-9999,0.13,-9999
QG,120000935,11/7/2001,11/7/2001 21:15,-9999,-9999,-9999,21.4,3.7,-9999,-9999,-9999,0.44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.64,-9999,2270
QG,120000933,11/7/2001,11/7/2001 20:50,-9999,-9999,-9999,23.4,4.1,-9999,-9999,-9999,0.44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.56,-9999,1730
QG,120000924,11/7/2001,11/7/2001 16:45,-9999,-9999,-9999,21.6,2.8,-9999,-9999,-9999,0.47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3,-9999,3060
QG,120000931,11/7/2001,11/7/2001 18:30,-9999,-9999,-9999,25.2,3.9,-9999,-9999,-9999,0.47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.92,-9999,1820
QG,120000921,11/7/2001,11/7/2001 16:05,-9999,-9999,-9999,25.7,3.4,-9999,-9999,-9999,0.54,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.45,-9999,2620
QG,120000930,11/7/2001,11/7/2001 18:20,-9999,-9999,-9999,23.8,3.7,-9999,-9999,-9999,0.47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.69,-9999,2890
QG,120000929,11/7/2001,11/7/2001 18:05,-9999,-9999,-9999,22.7,3.4,-9999,-9999,-9999,0.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.56,-9999,3220
QG,120000928,11/7/2001,11/7/2001 17:50,-9999,-9999,-9999,24.4,3.8,-9999,-9999,-9999,0.54,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.9,-9999,2380
QG,120000926,11/7/2001,11/7/2001 17:10,-9999,-9999,-9999,25.4,3.4,-9999,-9999,-9999,0.49,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.54,-9999,1220
QG,120000932,11/7/2001,11/7/2001 20:35,-9999,-9999,-9999,23.8,4,-9999,-9999,-9999,0.45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.77,-9999,2730
QG,120000922,11/7/2001,11/7/2001 16:20,-9999,-9999,-9999,24.4,3,-9999,-9999,-9999,0.62,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.69,-9999,2100
QG,120000936,11/7/2001,11/7/2001 21:30,-9999,-9999,-9999,22,3.5,-9999,-9999,-9999,0.43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.6,-9999,1500
QG,120000923,11/7/2001,11/7/2001 16:35,-9999,-9999,-9999,22.2,2.6,-9999,-9999,-9999,0.48,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.47,-9999,4170
QG,120000940,11/8/2001,11/8/2001 1:45,-9999,-9999,-9999,27.9,5.5,-9999,-9999,-9999,0.47,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.6,-9999,1810
QG,120000941,11/8/2001,11/8/2001 1:55,-9999,-9999,-9999,27.8,5.6,-9999,-9999,-9999,0.51,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.5,-9999,1060
MPR,32032000,11/9/2001,11/9/2001 0:00,-9999,-9999,-9999,-9999,6.65,106,0.84,4.29,0.45,0.97,3.54,2.5,2,2.06,-9999,0.18,-9999,8.78,0.07,-9999
Q1,22040,11/13/2001,11/13/2001 10:01,9.83,23,7.37,105.2,8.72,231,1.25,7.98,0.78,2.37,4.68,7.37,20.35,0.46,-9999,0.25,-9999,19.29,0.01,14.93
QG,22036,11/13/2001,11/13/2001 11:50,8.6,20.9,6.93,51.2,7.48,323,0.37,4.93,0.4,0.92,2.67,2.5,7.57,0.63,-9999,0.4,-9999,11.76,0.08,3.45
Q3,22042,11/13/2001,11/13/2001 9:44,4.68,22.5,7.51,89.7,8.73,193,0.61,6.85,0.64,1.98,3.83,2.5,26.31,0.81,-9999,0.29,-9999,16.97,0.1,1.48
Q2,22041,11/13/2001,11/13/2001 9:52,0.17,23,7.51,94.7,7.62,245,0.94,6.73,0.79,1.96,4.16,2.5,21.01,0.46,-9999,0.35,-9999,17.47,0.1,6.76
MPR,22038,11/13/2001,11/13/2001 10:42,2.08,23.5,7.49,98.4,8.38,142,1.22,6.02,0.53,1.6,4.99,14.61,9.87,0.62,-9999,0.15,-9999,12.85,0.01,0.5
QP,22035,11/13/2001,11/13/2001 8:37,1.46,21.8,7.27,71.4,8.37,36,0.44,6.08,0.42,1.83,3.31,2.5,6.98,0.94,-9999,0.14,-9999,10.19,0.1,3.71
QS,22034,11/13/2001,11/13/2001 8:20,3.4,21.2,7.1,47.9,7.73,124,0.55,4.35,0.23,1.19,2.39,2.5,5.38,1.16,-9999,0.18,-9999,4.96,0.06,0.3
RI,22037,11/13/2001,11/13/2001 11:32,1.3,21.2,6.8,55.5,6.53,179,0.41,5.05,0.49,1.03,3.25,2.5,7.87,0.59,-9999,0.28,-9999,11.88,0.1,2.82
QG,120000942,11/13/2001,11/13/2001 11:10,-9999,-9999,-9999,52.1,7.2,-9999,-9999,-9999,0.52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,20.5,-9999,10
Q2,22054,11/20/2001,11/20/2001 8:45,0.18,22,7.7,141.2,7.37,185,0.96,8.73,0.97,3.09,6.28,2.5,18.05,0.56,-9999,0.25,-9999,34.76,0.06,10.1
Q3,22055,11/20/2001,11/20/2001 8:40,4.6,22,7.54,92.6,8.64,136,0.6,8.66,0.74,3.28,4.89,2.5,17.25,0.5,-9999,0.19,-9999,34.31,0.05,2.58
Q1,22053,11/20/2001,11/20/2001 9:50,9.7,22.5,7.55,105.7,8.49,186,1.27,10.04,0.99,3.54,6.35,13.29,26.46,0.39,-9999,0.23,-9999,39.97,0.03,11.43
MPR,22051,11/20/2001,11/20/2001 10:38,1.71,23.5,7.61,93,7.99,75,1.23,7.79,0.71,2.32,7.5,2.5,11.39,0.64,-9999,0.13,-9999,26.83,0.05,0.5
QG,22049,11/20/2001,11/20/2001 12:50,8.58,20.5,7.02,53.4,7.16,275,0.34,6.45,0.52,1.14,2.97,2.5,6.95,0.57,-9999,0.31,-9999,23.28,0.03,3.6
QP,22048,11/20/2001,11/20/2001 8:49,1.36,21.3,7.27,73.3,8.21,52,0.44,7.15,0.41,3.53,4.42,2.5,5.93,0.86,-9999,0.1,-9999,22.91,0.05,4.89
QS,22047,11/20/2001,11/20/2001 8:27,3.06,20.8,7.1,52.1,7.33,100,0.54,5.59,0.39,1.65,2.79,11.66,6,1.1,-9999,0.15,-9999,14.59,0.04,0.3
RI,22050,11/20/2001,11/20/2001 12:34,1.26,21,6.88,58.6,6.43,157,0.4,6.46,0.6,1.45,4.06,2.5,4.43,0.54,-9999,0.2,-9999,25,0.04,2.4
QG,22062,11/27/2001,11/27/2001 1:25,8.56,19.9,7.42,52.6,7.11,261,0.38,6.33,0.6,1.22,3.1,2.5,5.65,0.88,-9999,0.3,-9999,22.55,0.03,3.77
Q3,22068,11/27/2001,11/27/2001 9:34,4.6,21.5,7.4,69.8,8.62,134,0.65,8.57,0.72,3.29,5.08,2.5,17.34,0.99,-9999,0.18,-9999,32.59,0.04,3.56
Q2,22067,11/27/2001,11/27/2001 9:40,0.16,21.8,7.43,88.9,7.56,162,0.99,8.6,0.96,3.14,5.69,6.65,11.73,1.12,-9999,0.22,-9999,32.77,0.05,8.38
Q1,22066,11/27/2001,11/27/2001 9:46,9.76,22,7.49,118.6,8.8,162,1.33,10.03,1.04,3.37,5.7,13.77,25.13,0.86,-9999,0.22,-9999,38.25,0.05,21.4
QS,22060,11/27/2001,11/27/2001 7:34,3.2,19.9,7.48,47.1,7.02,95,0.62,5.3,-9999,1.57,2.46,2.5,2,1.72,-9999,0.15,-9999,12.9,0.05,0.2
RI,22063,11/27/2001,11/27/2001 1:03,1.26,20.5,7.24,56.9,6.54,156,0.42,6.56,0.99,1.48,4.08,7.62,2,0.87,-9999,0.21,-9999,23.83,0.05,2.5
QP,22061,11/27/2001,11/27/2001 7:56,1.36,20.6,7.63,73.9,7.87,53,0.48,6.79,0.36,3.32,4.26,2.5,4.29,1.21,-9999,0.1,-9999,21.62,0.05,4
MPR,22064,11/27/2001,11/27/2001 9:13,1.8,21.5,7.69,80,7.83,66,1.24,7.43,0.73,2.39,8.41,2.5,8.62,0.91,-9999,0.12,-9999,24.49,0.05,-9999
MPR,22077,12/4/2001,12/4/2001 10:58,1.79,23,7.59,57.9,7.1,78,1.08,6.54,0.73,1.87,6.7,7.33,8.53,2.24,-9999,0.18,-9999,19.98,0.1,3.05
RI,22076,12/4/2001,12/4/2001 11:31,1.24,21.1,7.2,47.8,5.96,142,0.44,5.95,0.68,1.34,4.03,8.83,5.05,1.24,-9999,0.21,-9999,22.49,0.06,4.9
Q3,22081,12/4/2001,12/4/2001 10:13,4.58,22,7.51,72.9,8.1,123,0.66,8.44,0.74,3.25,4.61,2.5,15.69,0.94,-9999,0.18,-9999,32.01,0.05,4.8
Q2,22080,12/4/2001,12/4/2001 10:20,0.1,22.3,7.5,72.2,7.02,148,0.92,8.47,1.02,3.05,5.71,6.12,15.37,0.82,-9999,0.18,-9999,32.75,0.03,9
QG,22075,12/4/2001,12/4/2001 11:48,8.56,20.4,7.38,43.7,7.07,248,0.38,6.45,0.65,1.2,3.16,2.5,5.68,0.85,-9999,0.3,-9999,22.84,0.05,9.86
Q1,22079,12/4/2001,12/4/2001 10:35,9.74,22.8,7.44,85.3,8.33,159,1.27,9.87,1.16,3.32,5.33,10.07,24.03,0.58,-9999,0.22,-9999,38.82,0.05,16.23
QP,22074,12/4/2001,12/4/2001 8:10,1.34,21.2,7.74,64.7,6.73,69,0.58,5.29,0.4,1.72,2.8,2.5,2,2.39,-9999,0.15,-9999,12.41,0.08,1.05
QS,22073,12/4/2001,12/4/2001 7:53,3.36,20.7,7.57,38,8.62,54,0.57,7.6,-9999,3.81,4.74,5.75,5.59,1.25,-9999,0.11,-9999,23.11,0.05,6.4
QG,120000945,12/4/2001,12/4/2001 20:40,-9999,-9999,-9999,21.5,3.1,-9999,-9999,-9999,0.38,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.22,-9999,4740
QG,120000943,12/4/2001,12/4/2001 20:15,-9999,-9999,-9999,23.1,3.7,-9999,-9999,-9999,0.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.49,-9999,9390
QG,120000946,12/4/2001,12/4/2001 20:50,-9999,-9999,-9999,22.9,3.4,-9999,-9999,-9999,0.4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.37,-9999,3180
QG,120000944,12/4/2001,12/4/2001 20:25,-9999,-9999,-9999,22.3,2.5,-9999,-9999,-9999,0.39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.09,-9999,8970
RI,32067000,12/5/2001,12/5/2001 0:00,-9999,-9999,-9999,-9999,5.72,185,0.54,4.38,0.55,0.99,2.49,9.06,2,2.4,-9999,0.26,-9999,15.78,0.07,-9999
QG,120000948,12/5/2001,12/5/2001 17:10,-9999,-9999,-9999,26.3,4.2,-9999,-9999,-9999,0.42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.65,-9999,1860
QG,32066000,12/5/2001,12/5/2001 0:00,-9999,-9999,-9999,-9999,6.87,329,0.55,4.94,0.52,0.92,2.13,6.18,5.56,1.76,-9999,0.36,-9999,17.71,0.01,-9999
QG,120000947,12/5/2001,12/5/2001 17:05,-9999,-9999,-9999,26,3.9,-9999,-9999,-9999,0.41,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.84,-9999,2610
Q2,22093,12/11/2001,12/11/2001 9:50,0.2,23,7.38,73.9,6.88,180,0.95,7.01,1.02,2.38,5.62,22.34,15.72,2.23,-9999,0.26,-9999,27.94,0.05,172.37
Q3,22094,12/11/2001,12/11/2001 9:28,4.76,22.5,7.39,66.2,7.42,136,0.67,6.75,0.68,2.5,3.71,8.32,14.1,2.32,-9999,0.19,-9999,26.16,0.05,12.4
Q1,22092,12/11/2001,12/11/2001 9:45,9.79,23,7.31,117.5,7.82,159,1.2,7.99,0.95,2.72,5.12,51.55,17.96,2.39,-9999,0.26,-9999,31.81,0.05,61
MPR,22090,12/11/2001,12/11/2001 10:38,2.4,22.5,7.37,70.2,7.28,90,1.09,6.06,0.74,1.64,7.63,8.97,8.86,1.69,-9999,0.18,-9999,19.12,0.08,4.14
QG,22088,12/11/2001,12/11/2001 11:09,8.74,20.5,6.84,42.7,5.97,199,0.43,4.95,0.59,0.85,2.23,10.23,2,3.21,-9999,0.28,-9999,15.71,0.07,241
QP,22087,12/11/2001,12/11/2001 7:53,1.44,21.5,7.1,70,7.9,64,0.54,6.06,0.39,2.86,3.96,2.5,4.5,1.55,-9999,0.1,-9999,19.72,0.04,4.79
QS,22086,12/11/2001,12/11/2001 7:37,3.54,21,6.85,43.2,6.66,75,0.57,4.43,0.47,1.18,2.24,5.09,2,2.41,-9999,0.16,-9999,10.64,0.08,1
RI,22089,12/11/2001,12/11/2001 10:48,1.28,20.7,6.76,55.9,6.19,154,0.45,5.54,0.63,1.41,3.73,6.65,2,1.21,-9999,0.18,-9999,22.21,0.02,4
QG,32074000,12/11/2001,12/11/2001 0:00,-9999,-9999,-9999,-9999,7.26,224,0.57,5.67,0.54,0.77,1.96,2.5,5.25,3.49,-9999,0.31,-9999,14.61,0.09,-9999
